"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","A","2020",6.463281,
"AUS","HUR","TOT","PC_LF","A","2021",5.113585,
"AUS","HUR","TOT","PC_LF","A","2022",3.705262,
"AUT","HUR","TOT","PC_LF","A","2020",6.025,
"AUT","HUR","TOT","PC_LF","A","2021",6.2,
"AUT","HUR","TOT","PC_LF","A","2022",4.758333,
"BEL","HUR","TOT","PC_LF","A","2020",5.541667,
"BEL","HUR","TOT","PC_LF","A","2021",6.275,
"BEL","HUR","TOT","PC_LF","A","2022",5.575,
"CAN","HUR","TOT","PC_LF","A","2020",9.691667,
"CAN","HUR","TOT","PC_LF","A","2021",7.541667,
"CAN","HUR","TOT","PC_LF","A","2022",5.3,
"CZE","HUR","TOT","PC_LF","A","2020",2.55,
"CZE","HUR","TOT","PC_LF","A","2021",2.808333,
"CZE","HUR","TOT","PC_LF","A","2022",2.4,
"DNK","HUR","TOT","PC_LF","A","2020",5.625,
"DNK","HUR","TOT","PC_LF","A","2021",5.1,
"DNK","HUR","TOT","PC_LF","A","2022",4.458333,
"FIN","HUR","TOT","PC_LF","A","2020",7.725,
"FIN","HUR","TOT","PC_LF","A","2021",7.675,
"FIN","HUR","TOT","PC_LF","A","2022",6.766667,
"FRA","HUR","TOT","PC_LF","A","2020",8.033334,
"FRA","HUR","TOT","PC_LF","A","2021",7.875,
"FRA","HUR","TOT","PC_LF","A","2022",7.316667,
"DEU","HUR","TOT","PC_LF","A","2020",3.625,
"DEU","HUR","TOT","PC_LF","A","2021",3.575,
"DEU","HUR","TOT","PC_LF","A","2022",3.066667,
"GRC","HUR","TOT","PC_LF","A","2020",17.61667,
"GRC","HUR","TOT","PC_LF","A","2021",14.79167,
"GRC","HUR","TOT","PC_LF","A","2022",12.45833,
"HUN","HUR","TOT","PC_LF","A","2020",4.141667,
"HUN","HUR","TOT","PC_LF","A","2021",4.041667,
"HUN","HUR","TOT","PC_LF","A","2022",3.616667,
"ISL","HUR","TOT","PC_LF","A","2020",6.433333,
"ISL","HUR","TOT","PC_LF","A","2021",6.008333,
"ISL","HUR","TOT","PC_LF","A","2022",3.75,
"IRL","HUR","TOT","PC_LF","A","2020",5.85,
"IRL","HUR","TOT","PC_LF","A","2021",6.266667,
"IRL","HUR","TOT","PC_LF","A","2022",4.5,
"ITA","HUR","TOT","PC_LF","A","2020",9.3,
"ITA","HUR","TOT","PC_LF","A","2021",9.558333,
"ITA","HUR","TOT","PC_LF","A","2022",8.075,
"JPN","HUR","TOT","PC_LF","A","2020",2.775,
"JPN","HUR","TOT","PC_LF","A","2021",2.816667,
"JPN","HUR","TOT","PC_LF","A","2022",2.6,
"KOR","HUR","TOT","PC_LF","A","2020",3.941667,
"KOR","HUR","TOT","PC_LF","A","2021",3.675,
"KOR","HUR","TOT","PC_LF","A","2022",2.883333,
"LUX","HUR","TOT","PC_LF","A","2020",6.691667,
"LUX","HUR","TOT","PC_LF","A","2021",5.425,
"LUX","HUR","TOT","PC_LF","A","2022",4.5,
"MEX","HUR","TOT","PC_LF","A","2020",4.431634,"B"
"MEX","HUR","TOT","PC_LF","A","2021",4.138621,
"MEX","HUR","TOT","PC_LF","A","2022",3.273771,
"NLD","HUR","TOT","PC_LF","A","2020",4.85,
"NLD","HUR","TOT","PC_LF","A","2021",4.225,
"NLD","HUR","TOT","PC_LF","A","2022",3.541667,
"NZL","HUR","TOT","PC_LF","A","2020",4.6,
"NZL","HUR","TOT","PC_LF","A","2021",3.8,
"NZL","HUR","TOT","PC_LF","A","2022",3.275,
"NOR","HUR","TOT","PC_LF","A","2020",4.75,
"NOR","HUR","TOT","PC_LF","A","2021",4.458333,
"NOR","HUR","TOT","PC_LF","A","2022",3.233333,
"POL","HUR","TOT","PC_LF","A","2020",3.216667,
"POL","HUR","TOT","PC_LF","A","2021",3.375,
"POL","HUR","TOT","PC_LF","A","2022",2.891667,
"PRT","HUR","TOT","PC_LF","A","2020",7.116667,
"PRT","HUR","TOT","PC_LF","A","2021",6.591667,
"PRT","HUR","TOT","PC_LF","A","2022",6.041667,
"SVK","HUR","TOT","PC_LF","A","2020",6.658333,
"SVK","HUR","TOT","PC_LF","A","2021",6.825,
"SVK","HUR","TOT","PC_LF","A","2022",6.15,
"ESP","HUR","TOT","PC_LF","A","2020",15.53333,
"ESP","HUR","TOT","PC_LF","A","2021",14.79167,
"ESP","HUR","TOT","PC_LF","A","2022",12.925,
"SWE","HUR","TOT","PC_LF","A","2020",8.541667,
"SWE","HUR","TOT","PC_LF","A","2021",8.8,
